id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,last_activity
262236251,SR-Sunny-Raj/Hacktoberfest2021-DSA,https://api.github.com/repos/SR-Sunny-Raj/Hacktoberfest2021-DSA,242,1108,2765,0,111,472,2021-12-16T17:54:20Z
299900184,bhaveshlohana/HacktoberFest2020-Contributions,https://api.github.com/repos/bhaveshlohana/HacktoberFest2020-Contributions,189,1044,2347,11,25,458,2022-02-08T06:57:50Z
127184470,ambujraj/hacktoberfest2018,https://api.github.com/repos/ambujraj/hacktoberfest2018,140,1068,2557,21,6,427,2021-11-05T15:51:35Z
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53882,18986,6448,219,10846,426,2022-02-14T14:06:56Z
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57707,13641,8919,342,8303,424,2022-02-14T15:21:17Z
93438176,ZoranPandovski/al-go-rithms,https://api.github.com/repos/ZoranPandovski/al-go-rithms,1144,1833,6868,13,175,423,2022-01-31T13:07:20Z
257648141,Adapter-Hub/adapter-transformers,https://api.github.com/repos/Adapter-Hub/adapter-transformers,655,106,8763,31,104,417,2022-02-13T16:38:15Z
45717250,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,162647,86282,124966,2341,31627,406,2022-02-14T15:13:44Z
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21768,5128,2879,477,216,397,2022-02-14T04:25:33Z
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7664,2376,7515,218,1933,396,2022-02-14T15:25:39Z
379411992,tlc-pack/relax,https://api.github.com/repos/tlc-pack/relax,59,16,7484,14,5,395,2022-02-13T19:18:10Z
290981320,microsoft/fastformers,https://api.github.com/repos/microsoft/fastformers,618,36,4322,1,15,394,2021-08-04T05:05:08Z
349817814,tlc-pack/tenset,https://api.github.com/repos/tlc-pack/tenset,37,12,5840,4,5,392,2021-08-31T19:57:59Z
291217084,microsoft/tensorflow-directml,https://api.github.com/repos/microsoft/tensorflow-directml,345,20,63857,14,25,382,2022-02-09T22:35:10Z
263748045,NVIDIA/tensorflow,https://api.github.com/repos/NVIDIA/tensorflow,337,58,64032,11,30,381,2022-02-09T22:35:07Z
441354843,alibaba/DeepRec,https://api.github.com/repos/alibaba/DeepRec,116,46,64658,2,3,380,2022-02-14T11:56:42Z
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72662,45437,7752,1130,5638,376,2022-02-14T08:04:47Z
125344817,VLOGroup/tensorflow-icg,https://api.github.com/repos/VLOGroup/tensorflow-icg,17,10,25960,0,3,370,2022-01-07T22:33:15Z
108053674,tensorflow/probability,https://api.github.com/repos/tensorflow/probability,3583,963,11280,482,639,365,2022-02-14T06:38:33Z
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11218,2485,2487,841,1196,340,2022-02-14T13:01:35Z
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6197,1426,6294,666,2186,323,2022-02-14T09:58:54Z
153251691,Ishaan28malik/Hacktoberfest-2021,https://api.github.com/repos/Ishaan28malik/Hacktoberfest-2021,534,1427,1073,14,19,313,2021-11-18T12:59:44Z
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15942,1670,5096,505,2785,299,2022-02-14T03:04:16Z
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2676,1149,3964,594,2140,294,2022-02-14T15:12:54Z
292271265,SpooderManEXE/Hacktoberfest2020-Expert,https://api.github.com/repos/SpooderManEXE/Hacktoberfest2020-Expert,57,262,1272,0,1,278,2021-10-10T03:15:51Z
412498607,sonumahajan/All_Program_helper,https://api.github.com/repos/sonumahajan/All_Program_helper,34,272,1178,0,17,277,2021-11-01T02:57:31Z
