id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,ML_usage
59771425,zephyrproject-rtos/zephyr,https://api.github.com/repos/zephyrproject-rtos/zephyr,5568,3498,60382,1202,12703,396,TRUE
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57954,13682,8986,340,8342,421,TRUE
640534,sympy/sympy,https://api.github.com/repos/sympy/sympy,8849,3597,50221,3811,7799,451,TRUE
71932349,ray-project/ray,https://api.github.com/repos/ray-project/ray,19140,3255,11310,1960,7162,431,TRUE
5108051,opencv/opencv,https://api.github.com/repos/opencv/opencv,59639,50144,31593,1953,6712,303,TRUE
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72726,45453,7766,1130,5649,375,TRUE
70908208,RasaHQ/rasa,https://api.github.com/repos/RasaHQ/rasa,13538,3886,29857,894,5567,319,TRUE
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22020,7782,1791,211,4541,206,TRUE
10969551,cms-sw/cmssw,https://api.github.com/repos/cms-sw/cmssw,849,3662,229660,554,2799,147,TRUE
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15968,1673,5127,508,2787,299,TRUE
46918116,microsoft/CNTK,https://api.github.com/repos/microsoft/CNTK,17127,4388,16116,753,2527,193,TRUE
96246170,ApolloAuto/apollo,https://api.github.com/repos/ApolloAuto/apollo,20104,8110,18066,1044,2458,267,TRUE
23653453,pachyderm/pachyderm,https://api.github.com/repos/pachyderm/pachyderm,5346,515,20526,707,2355,144,TRUE
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6229,1431,6320,678,2197,325,TRUE
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2685,1154,3991,595,2146,295,TRUE
154739597,google/jax,https://api.github.com/repos/google/jax,16256,1488,10512,810,2094,341,TRUE
60273704,mozilla/DeepSpeech,https://api.github.com/repos/mozilla/DeepSpeech,19004,3410,3466,106,1946,135,TRUE
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7680,2379,7564,221,1941,395,TRUE
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2912,635,7057,111,1727,132,TRUE
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17653,1590,4577,527,1722,123,TRUE
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8303,3071,2632,12,1700,40,TRUE
1605598,bulletphysics/bullet3,https://api.github.com/repos/bulletphysics/bullet3,8917,2412,9130,11,1677,203,TRUE
99846383,horovod/horovod,https://api.github.com/repos/horovod/horovod,12121,2008,1139,273,1674,135,TRUE
